Feature,Importance (x1000)
v98,72.40209303125116
v74,19.088792509903723
v224,18.119011218372222
v253,17.407947819433527
v101,16.322428082299986
v79,12.544489851339561
v99,12.130637732697048
v82,11.962275200772357
v223,10.737535848527243
v180,10.430427382364893
v227,9.873117914063506
v81,9.685066218685835
v226,8.927099669910934
v233,8.877498973045393
v178,8.609362628320044
v80,7.8885204008924035
v234,7.651820238416904
v236,7.524919413924319
v220,7.123763323364161
v122,6.7833869633392
v104,6.674515364495473
v235,6.36787712205187
v179,6.355513959466966
v249,6.1559791689001155
v225,6.142213863457976
v13,6.056211083262547
v222,5.948045233870432
v183,5.82202287422856
v237,5.771121988502666
v2,5.670424976019354
v19,5.585569973038013
v134,5.50714180845155
v150,5.205591661649432
v83,5.1851288638370425
v135,5.139102272749458
v219,4.99694380642007
v109,4.910792451755318
v84,4.8966540852329254
v229,4.868579454915148
v129,4.795680236347304
v1,4.722050567620453
v105,4.714329781448125
v128,4.671901625811891
v138,4.64767595116823
v240,4.566200791135
v238,4.562664772457753
v184,4.5374989727273665
v121,4.520712860758934
v120,4.492313829883493
v232,4.411507599013758
v143,4.374919841479264
v189,4.370238721972101
v119,4.3499684840082935
v20,4.301358385234237
v131,4.286770722175965
v115,4.2841779977977215
v130,4.276554902136368
v185,4.275514994912737
v126,4.263532346639632
v156,4.251568790504726
v35,4.251527708932131
v127,4.207353173051713
v76,4.207156041807111
v141,4.2010538586490975
v111,4.168794393971287
v110,4.152979198287845
v116,4.150567927700341
v142,4.140944669635944
v167,4.129013470448924
v125,4.127903633977332
v124,4.116573759900956
v112,4.11494914056804
v177,4.105380998069342
v170,4.101121293603275
v132,4.080835970017231
v149,4.062134731238761
v64,4.04129316116967
v186,4.031222365376855
v228,4.0252328467961975
v114,4.014814286304172
v162,4.013842581324058
v181,4.011563884574112
v146,4.0012946127583255
v145,3.9818372779656586
v169,3.9677310579027942
cntry,3.9584504163634926
v140,3.934400867218033
v3,3.929037966503018
v263,3.9221972339395523
v239,3.9077018559521854
v136,3.907648063973445
v148,3.899111773207976
v59,3.8683364520395487
v118,3.8667699583463797
v258,3.8582893572752575
v61,3.853425299998907
v251,3.850069208453134
v137,3.8495191308775896
v75,3.8471262929533405
v117,3.828599266826154
v57,3.8192249961342095
v65,3.813478992878706
v139,3.812411258739525
v144,3.7947955525190675
v113,3.7547091803462216
v66,3.7370588021886584
v243,3.717032029034795
v60,3.71271496009943
v147,3.708319737686742
v6,3.700870606509264
v58,3.6962089656939034
v250,3.6958488388420085
v182,3.6749656608857615
v85,3.6746332455206603
v190,3.651607080262323
v56,3.644439544983345
v242,3.644257659890047
v14,3.624955903144302
v67,3.5978300661974925
v63,3.585773917857445
v73,3.549410865993175
v4,3.53290223974796
v72,3.527625320379728
v231,3.5272200863783856
v5,3.4711537159999857
v90,3.4612772677396695
v241,3.461051974738258
v248,3.452949032821169
v154,3.405982851731387
v157,3.3492391587990795
v255,3.3485910785453243
v166,3.2817390854899253
v68,3.2697535484607005
v160,3.22934412984556
v188,3.2289560930557717
v221,3.225055328922876
v152,3.2178537753275673
v159,3.188028826567025
v62,3.1570985639858242
v168,3.148570111046613
v11,3.140817304537772
v187,3.045414246958383
v256,3.026953605496813
v8,3.01849778937426
v103,2.9667662138708017
v102,2.9662059101548395
v174,2.9200277053429105
v163,2.901458996976564
v264,2.8984916184980225
v151,2.8541951812232464
v30,2.8499420655888827
v176,2.787727974840987
v100,2.7616703137265177
v18,2.758722975637078
v91,2.752066526808305
v21,2.671041650441667
v155,2.6521735233658625
v53,2.589209355494701
v22,2.5653637182877964
v175,2.5474495495660197
v252,2.5446985220743903
v106,2.529150225279765
v265,2.512412607711813
v197,2.497751025880043
v216,2.48779671067981
v71,2.457681855304523
v12,2.4562750745439956
v209,2.4123078303095986
v173,2.4046993099070875
v217,2.381732124953989
v88,2.379571675357838
v70,2.375694380709025
v244,2.3728162453536785
v196,2.3642434558441385
v133,2.355428912681798
v78,2.342765513052921
v208,2.332799927336942
v171,2.3311064184844246
v92,2.3034293530800274
v77,2.291033734927232
v158,2.290455792997683
v161,2.2546105695783805
v165,2.1992026025856135
v198,2.1837277783199647
v191,2.1486941036444818
v54,2.122902301400997
v69,2.1224211300880196
v206,2.0921044961254256
v210,2.079743030497836
v23,2.0787609711521355
v218,2.070965969085489
v46,2.0565194456623392
v194,2.0328753866488865
v261,2.0300996298374008
v172,1.9709839285199644
v254,1.9504503526172288
v7,1.930128882761972
v230,1.8635728592318783
v107,1.8260909809753396
v153,1.8244842658610363
v10,1.8117398694282099
v17,1.7724614287064964
v108,1.7387387623723771
v89,1.7098007714420735
v9,1.7054494660502564
v123,1.6999361579914356
v43,1.6829590485131407
v195,1.6462619237139489
v87,1.637851700491442
v207,1.560682537155246
v262,1.551539202749801
v260,1.5376941185132396
v266,1.5291496824343407
v97,1.510753976160803
v96,1.499986636290532
v205,1.4808078625488423
v193,1.4775277872517192
v203,1.4322474442280075
v86,1.4059172243382279
v215,1.3698410031005153
v164,1.3577700412294378
v270,1.357111022503751
v259,1.3488806531245106
v93,1.3478163239829006
v199,1.3444686237233618
v204,1.3428538054978236
v202,1.3405441239624156
v214,1.3333583095793016
v211,1.3205552853625129
v36,1.3195239226121345
v269,1.3110374993505527
v257,1.286037297608248
v192,1.2330518873742777
v24,1.1699262521413771
v213,1.1267158169970026
v25,1.0761299150317625
v95,1.044246784557967
v201,1.0432567471587104
v246,0.9234643105244766
v245,0.8743728252186829
v268,0.8093546413594499
v267,0.7372776321230525
v94,0.6884263969170816
v200,0.6852691767275313
v31,0.6618843082462902
v212,0.656134256610921
v37,0.630884981136468
v48,0.6298180832406476
v51,0.555946010183788
v47,0.5498613999349445
v49,0.49684725107689354
v38,0.4968401655566514
v55,0.49450403258306863
v44,0.45970621965284864
v42,0.4060735177873981
v41,0.3624648241123045
v247,0.3534196340194944
v32,0.2826748376710906
v52,0.2614053480453394
v40,0.25384957131463354
v34,0.12345934127408476
v15,0.0919837710220594
v29,0.064835160024921
v27,0.06460741806768958
v39,0.041285473265675124
v33,0.034417320361782515
v28,0.0332469243724051
v50,0.022235924491796656
v26,0.021751675165002045
v16,0.01278742687135654
v45,0.008381767093204165
